Species_name	Species_id
Caenorhabditis elegans 	6239
Drosophila melanogaster 	7227
Drosophila pseudoobscura 	7237
Drosophila simulans 	7240
Branchiostoma lanceolatum 	7740
Latimeria chalumnae 	7897
Lepisosteus oculatus 	7918
Anguilla anguilla 	7936
Danio rerio 	7955
Astyanax mexicanus 	7994
Esox lucius 	8010
Salmo salar 	8030
Gadus morhua 	8049
Poecilia reticulata 	8081
Oryzias latipes 	8090
Astatotilapia calliptera 	8154
Xenopus laevis 	8355
Xenopus tropicalis 	8364
Gallus gallus 	9031
Meleagris gallopavo 	9103
Ornithorhynchus anatinus 	9258
Callithrix jacchus 	9483
Cercocebus atys 	9531
Macaca fascicularis 	9541
Macaca mulatta 	9544
Macaca nemestrina 	9545
Papio anubis 	9555
Gorilla gorilla 	9593
Pan paniscus 	9597
Pan troglodytes 	9598
Homo sapiens 	9606
Canis lupus familiaris 	9615
Felis catus 	9685
Equus caballus 	9796
Sus scrofa 	9823
Bos taurus 	9913
Capra hircus 	9925
Ovis aries 	9940
Manis javanica 	9974
Oryctolagus cuniculus 	9986
Mus musculus 	10090
Rattus norvegicus 	10116
Cavia porcellus 	10141
Heterocephalus glaber 	10181
Monodelphis domestica 	13616
Anolis carolinensis 	28377
Microcebus murinus 	30608
Neolamprologus brichardi 	32507
Scophthalmus maximus 	52904
Chlorocebus sabaeus 	60711
Gasterosteus aculeatus 	69293
Nothobranchius furzeri 	105023
